nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,82,0,10,21,26,10, 01/11/1968,387766.48,20679.85,90785.55,,,,,,,,,,0,1115746.5,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,,,33763.0,0
 NICOLINO BOZZELLA JUNIOR,M,83,1,8,42,9,5, 17/08/1980,323600.79,29348.65,84167.98,,,,,,,,,,0,1108661.55,111623.09,111642.57,107512.59,110707.93,111134.28,111357.59,110509.9,111392.57,111392.57,111388.46,,,33763.0,0
 ELVINO JOSÉ BOHN GASS,M,90,0,2,24,15,0, 05/02/1962,356144.7,30693.35,104543.25,,,,,,,,,,0,1113456.25,111641.36,111557.99,111508.13,111641.38,111641.38,110811.4,111604.98,111604.98,111604.98,109839.67,,,33763.0,0
 CARLOS CAMILO GÓES CAPIBERIBE,M,89,0,3,67,20,5, 23/05/1972,337744.18,57270.81,148128.07,,,,,,,,,,0,1098429.16,111508.06,111508.06,111508.06,111508.06,110034.25,109670.3,105908.91,110137.58,107941.38,108704.5,,,33763.0,0
 CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,71,16,5,12,14,3, 03/11/1979,366087.19,30097.59,63871.78,,,,,,,,,,0,1084232.34,107850.28,108483.94,109030.38,109215.09,109215.09,107121.98,105670.31,109215.09,109215.09,109215.09,,,33763.0,0
 ALBERTO BARROS CAVALCANTE NETO,M,88,2,2,66,3,1, 05/05/1982,240537.12,10761.97,239432.54,,,,,,,,,,0,1108460.75,111524.06,108183.95,109814.87,109505.49,111520.15,111370.71,111635.38,111635.38,111635.38,111635.38,,,33763.0,0
 JOSE AUGUSTO ROSA,M,85,4,3,29,39,2, 04/10/1966,297009.79,32590.99,125352.48,,,,,,,,,,0,1109989.13,111659.59,110586.8,107796.83,111659.59,111659.59,111659.59,110759.7,110888.26,111659.59,111659.59,,,33763.0,0
 GUILHERME MURARO DERRITE,M,90,2,0,21,0,0, 10/10/1984,311577.86,33369.05,95900.97,,,,,,,,,,0,1087142.69,111429.18,111429.18,111078.93,111198.68,111198.68,111198.68,104902.34,104902.34,104902.34,104902.34,,,33763.0,0
 FABIO ABREU COSTA,M,90,1,1,56,9,0, 31/12/1972,411441.61,27176.43,42870.52,,,,,,,,,,0,1112307.7,111501.54,111425.25,109950.47,110995.45,111125.87,111505.0,111580.82,111580.83,111580.83,111061.64,,,33763.0,0
 WAGNER SOUSA GOMES,M,31,2,0,0,1,0, 21/01/1979,141934.34,55521.07,155228.05,,,,,,,,,,0,1112741.02,110473.5,110107.68,111586.87,111652.64,111665.79,110952.4,111665.74,111665.74,111665.74,111304.92,,,33763.0,0
